Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-07-14,0.08,0.091033,0.08,0.090993,1942.057,2017-07-14 23:59:59.999000064,170.23852396,1994.0,1076.40500000,94.82527222,0
2017-07-15,0.090993,0.093699,0.087127,0.087635,4013.066,2017-07-15 23:59:59.999000064,363.03178785,4623.0,2250.31800000,203.54149755,0
2017-07-16,0.087508,0.087635,0.075591,0.082241,8904.158,2017-07-16 23:59:59.999000064,722.21248196,8137.0,5557.57500000,450.34388688,0
2017-07-17,0.082368,0.088394,0.081699,0.087537,6650.933,2017-07-17 23:59:59.999000064,568.24653804,7639.0,3859.48500000,329.66875309,0
2017-07-18,0.087831,0.109068,0.084777,0.107732,7245.741,2017-07-18 23:59:59.999000064,674.49785037,8121.0,4202.05500000,393.11140275,0
2017-07-19,0.107732,0.108732,0.08429,0.086853,7384.976,2017-07-19 23:59:59.999000064,723.00911562,8314.0,4794.26200000,468.26023838,0
2017-07-20,0.087144,0.095252,0.074982,0.080509,6395.16,2017-07-20 23:59:59.999000064,564.01770441,6535.0,4266.26100000,375.19828457,0
2017-07-21,0.080383,0.087511,0.079635,0.081581,7434.389,2017-07-21 23:59:59.999000064,618.20894652,7839.0,4604.94700000,382.99257488,0
2017-07-22,0.081586,0.084733,0.079856,0.082474,7979.899,2017-07-22 23:59:59.999000064,651.60703581,8841.0,4460.35800000,364.37225928,0
2017-07-23,0.082312,0.08456,0.081417,0.083533,6340.799,2017-07-23 23:59:59.999000064,527.55598124,7032.0,3714.15200000,309.05616001,0
2017-07-24,0.083438,0.083973,0.082265,0.083161,7380.244,2017-07-24 23:59:59.999000064,612.72702417,8346.0,3931.11600000,326.44455142,0
2017-07-25,0.083149,0.083149,0.075482,0.079654,7845.032,2017-07-25 23:59:59.999000064,634.98369428,8099.0,4588.86500000,371.28600482,0
2017-07-26,0.079676,0.081172,0.07761,0.079892,7496.738,2017-07-26 23:59:59.999000064,599.43177658,8700.0,4326.59700000,345.79967266,0
2017-07-27,0.079815,0.081867,0.077059,0.077449,8311.206,2017-07-27 23:59:59.999000064,667.17746185,9001.0,4442.54300000,356.68582013,0
2017-07-28,0.077059,0.077859,0.066827,0.068802,11013.824,2017-07-28 23:59:59.999000064,790.35738935,11121.0,5919.01600000,425.02549738,0
2017-07-29,0.068797,0.076814,0.064335,0.075773,14305.369,2017-07-29 23:59:59.999000064,982.45449195,13734.0,7259.96600000,498.44887227,0
2017-07-30,0.076009,0.076684,0.069876,0.070109,12989.765,2017-07-30 23:59:59.999000064,952.079687,13038.0,6641.97700000,486.80260453,0
2017-07-31,0.070406,0.073341,0.06759,0.072484,12029.45,2017-07-31 23:59:59.999000064,857.24421228,12674.0,6058.30400000,431.74541787,0
