jour,cours
2021-01-01,2700
2021-01-04,2555
2021-01-05,2555
2021-01-06,2555
2021-01-07,2590
2021-01-08,2590
2021-01-11,2585
2021-01-12,2580
2021-01-13,2570
2021-01-14,2560
2021-01-15,2560
2021-01-18,2560
2021-01-19,2555
2021-01-20,2550
2021-01-21,2550
2021-01-22,2565
2021-01-25,2590
2021-01-26,2605
2021-01-27,2685
2021-01-28,2600
2021-01-29,2675
2021-02-01,2675
2021-02-02,2675
2021-02-03,2675
2021-02-04,2610
2021-02-05,2610
2021-02-08,2610
2021-02-09,2600
2021-02-10,2600
2021-02-11,2600
2021-02-12,2585
2021-02-15,2585
2021-02-16,2600
2021-02-17,2585
2021-02-18,2585
2021-02-19,2670
2021-02-22,2600
2021-02-23,2670
2021-02-24,2670
2021-02-25,2670
2021-02-26,2700
2021-03-01,2670
2021-03-02,2695
2021-03-03,2670
2021-03-04,2660
2021-03-05,2660
2021-03-08,2690
2021-03-09,2660
2021-03-10,2670
2021-03-11,2670
2021-03-12,2670
2021-03-15,2670
2021-03-16,2665
2021-03-17,2665
2021-03-18,2650
2021-03-19,2650
2021-03-22,2650
2021-03-23,2700
2021-03-24,2790
2021-03-25,2750
2021-03-26,2700
2021-03-29,2750
2021-03-30,2700
2021-03-31,2745
2021-04-01,2800
2021-04-02,2700
2021-04-05,2700
2021-04-06,2750
2021-04-07,2755
2021-04-08,2755
2021-04-09,2795
2021-04-12,2760
2021-04-13,2895
2021-04-14,2800
2021-04-15,2820
2021-04-16,2900
2021-04-19,2900
2021-04-20,2830
2021-04-21,3040
2021-04-22,3200
2021-04-23,3190
2021-04-26,3105
2021-04-27,3110
2021-04-28,3250
2021-04-29,3195
2021-04-30,3155
2021-05-03,3100
2021-05-04,3100
2021-05-05,3200
2021-05-06,3200
2021-05-07,3245
2021-05-10,3200
2021-05-11,3200
2021-05-12,3200
2021-05-13,3200
2021-05-14,3200
2021-05-17,3200
2021-05-18,3200
2021-05-19,3205
2021-05-20,3290
2021-05-21,3300
2021-05-24,3300
2021-05-25,3300
2021-05-26,3300
2021-05-27,3305
2021-05-28,3350
2021-05-31,3380
2021-06-01,3315
2021-06-02,3210
